연번,시군,읍면동,시설종류,시설용도(공공용 시설건물 주용도),민방위대피시설명칭,주소(도로명 주소),주소(지번 주소),대피가능면적(제곱미터),대피 가능인원(명)
190,김천시,대신동,공공용,주거시설,우방2차아파트 지하주차장 1층,김천시 신음2길 18(신음동),김천시 신음동 470-6,3157,3157
191,김천시,대신동,공공용,주거시설,현대1차아파트 지하주차장 1층,김천시 시청로 46(신음동),김천시 신음동 394-3,7226.4,7226
192,김천시,대신동,공공용,상업시설,탑웨딩 지하 1층,김천시 시청로 194(신음동),김천시 신음동 577-2,661.1,661
193,김천시,대신동,공공용,주거시설,현대2차아파트 지하주차장 1층,김천시 시청로 42(신음동),김천시 신음동 394-9,2644.6,2644
194,김천시,대신동,공공용,주거시설,코아루1차아파트 지하주차장 1층,김천시 삼락택지길 132(교동),김천시 교동 950,1515,1515
195,김천시,대신동,공공용,주거시설,코아루2차아파트 지하주차장 1층,김천시 삼락택지길 137(삼락동),김천시 삼락동 1299,6681.35,6681
196,김천시,대신동,공공용,주거시설,대신휴먼시아 지하주차장 1층,김천시 시청로 93(신음동),김천시 신음동 1313,4485,4485
197,김천시,대신동,공공용,관공서,법원김천지원 지하 1층,김천시 물망골길 39(삼락동),김천시 삼락동 1225,178.5,178
198,김천시,대신동,공공용,의료시설,제일병원 지하 1층,김천시 신음1길 12(신음동),김천시 신음동 462-14,330.5,330
199,김천시,대곡동,공공용,주거시설,부곡금류아파트 지하주차장 1층,김천시 가메실2길 51(부곡동),김천시 부곡동 584-1,476,476
200,김천시,대곡동,공공용,주거시설,부곡3주공아파트 지하 1층,김천시 문지왈길 68(부곡동),김천시 부곡동 1328,2443,2443
201,김천시,대곡동,공공용,주거시설,한보아파트 지하주차장 1층,김천시 백옥길 5(백옥동),김천시 백옥동 66,3064.4,3064
202,김천시,대곡동,공공용,주거시설,한일부곡타운 지하주차장 1층,김천시 고래실3길 45-8(부곡동),김천시 부곡동 960-8,3629.7,3629
203,김천시,대곡동,공공용,주거시설,부곡화성타운 지하주차장 1층,김천시 부곡길 162(부곡동),김천시 부곡동 1529,13801.6,13801
204,김천시,대곡동,공공용,주거시설,부곡우방타운 지하주차장 1층,김천시 부곡길 206(부곡동),김천시 부곡동 1530,12112.3,12112
205,김천시,대곡동,공공용,주거시설,아주아트빌 지하주차장 1층,김천시 문지왈3길 14(부곡동),김천시 부곡동 765,4086,4086
