하천명,하천등급,기점위치,기점경계위치,종점위치,종점경계위치,하천지정근거,하천고시일내역,본류명,1지류명,2지류명,하천연장(키로미터)
주방천,지방,경북청송부동,경북청송부동,경북청송부동,용전천(지방) 합류점,경북536호 (1966-04-22 ),2012-07-09,낙동강,반변천,용전천,6.09
구평천,지방,경북청송청송,경북청송청송,경북청송청송,용전천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,용전천,8
괘천,지방,경북청송청송,경북청송청송,경북청송청송,용전천(지방) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,반변천,용전천,5.25
신흥천,지방,경북청송파천,경북청송파천,경북청송파천,용전천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,용전천,7
신기천,지방,경북청송파천,경북청송파천,경북청송파천,용전천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,용전천,8
일낙천,지방,경북안동길안,대곡(추곡),경북안동임동,용전천(지방) 합류점,경북88호 (1969-07-02 ),1969-07-02,낙동강,반변천,일낙천,5.5
용계천,지방,경북청송파천,지경,경북안동길안,반변천(국가) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,반변천,용계천,13.75
대곡천,지방,경북안동임동,대곡,경북안동길안,반변천(국가) 합류점,경북536호 (1966-04-22 ),1966-04-22,낙동강,반변천,대곡천,21
길안천,지방,경북청송현서,월정,경북안동임하,반변천(국가) 합류점,경북536호 (1966-04-22 ),2012-07-09,낙동강,반변천,길안천,72
보현천,지방,경북청송현서,두곡85-3(답)선,경북청송안덕,길안천(지방) 합류점,경북536호 (1966-04-22 ),2010-07-12,낙동강,반변천,길안천,14.5
무계천,지방,경북청송현서,무계(간산),경북청송현서,보현천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,반변천,길안천,6
무계천,지방,경북청송현동,월매,경북청송현동,길안천(지방) 합류점,경북536호 (1966-04-22 ),2004-02-09,낙동강,반변천,길안천,13.05
병보천,지방,경북포항죽장,상사,경북청송현동,눌인천(지방) 합류점,경북536호 (1966-04-22 ),2010-12-20,낙동강,반변천,길안천,9.14
은계천,지방,경북청송현동,눌인(매곡),경북청송현동,눌인천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,반변천,길안천,6.8
송제천,지방,경북안동길안,경북안동길안,경북안동길안,길안천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,반변천,길안천,8.6
백자천,지방,경북안동길안,경북안동길안,경북안동길안,길안천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,반변천,길안천,6
현하천,지방,경북안동길안,경북안동길안,경북안동길안,길안천(지방) 합류점,경북536호 (1966-04-22 ),2010-02-22,낙동강,반변천,길안천,7.22
신기천,지방,경북안동임하,고곡,경북안동임하,길안천(지방) 합류점,경북88호 (1969-07-02 ),,낙동강,반변천,길안천,5.9
이천천,지방,경북안동임하,초목(점리),경북안동남선,반변천(국가) 합류점,경북88호 (1969-07-02 ),,낙동강,반변천,이천천,8.5
백일천,지방,경북안동남선,신흥,경북안동남선,반변천(국가) 합류점,경북88호 (1969-07-02 ),,낙동강,반변천,백일천,9
송야천,지방,경북영주평은,오운,경북안동풍산,낙동강(국가) 합류점,경북536호 (1966-04-22 ),2004-10-04,낙동강,송야천,,22.01
미천,지방,경북의성옥산,실업리 1288번지선,경북안동남후,검암리(낙동강합류점),경북536호 (1966-04-22 ),1991-12-01,낙동강,미천,,53.15
달곡천,지방,경북의성옥산,금학,경북의성옥산,미천(지방) 합류점,경북536호 (1966-04-22 ),2005-07-18,낙동강,미천,달곡천,10.35
옥곡천,지방,경북의성점곡,황룡리 산81,경북의성점곡,사촌리 미천(지방) 합류점,경북88호 (1969-07-03 ),2009-07-23,낙동강,미천,옥곡천,7.7
하화천,지방,경북의성단촌,상화리 943(대곡저수지 여수로 하단),경북의성단촌,세촌리 880-6(미천 합류점),경북88호 (1969-07-03 ),2016-03-17,낙동강,미천,하화천,6.7
망율천,지방,경북안동일직,평팔,경북안동일직,미천(지방) 합류점,경북88호 (1969-07-02 ),2008-06-19,낙동강,미천,망율천,5.58
안망천,지방,경북의성단촌,외천,경북안동일직,미천(지방) 합류점,경북88호 (1969-07-03 ),2012-07-09,낙동강,미천,안망천,9.72
송양천,지방,경북안동일직,용각,경북안동일직,미천(지방) 합류점,경북88호 (1969-07-02 ),2011-07-14,낙동강,미천,송양천,7
노림천,지방,경북안동남선,외하,경북안동남후,미천(지방) 합류점,경북88호 (1969-07-02 ),2019-10-24,낙동강,미천,노림천,5.85
하고천,지방,경북안동남후,고상리 1272번지선,경북안동남후,검암리 943-1번지선 낙동강(국가)합류점,경북88호 (1969-07-02 ),2016-09-01,낙동강,하고천,,6.55
증수천,지방,경북안동서후,이개리 870번지선,경북안동풍산,수곡리 833-1번지선 낙동강(국가)합류점,경북88호 (1969-07-02 ),2016-09-01,낙동강,증수천,,6.1
풍산천,지방,경북안동서후,자품리 일대,경북안동풍산,낙동강 합류점,경북536호 (1966-04-22 ),2016-06-16,낙동강,풍산천,,12.53
신역천,지방,경북안동풍산,신양리 일대,경북안동풍산,낙동강 합류점,경북536호 (1966-04-22 ),2016-06-16,낙동강,신역천,,8
하아천,지방,경북안동남후,상아,경북안동남후,낙동강(국가) 합류점,경북88호 (1969-07-02 ),2008-12-22,낙동강,하아천,,6
광산천,지방,경북의성신평,덕봉리,경북안동풍천,낙동강 합류점,경북536호 (1966-04-22 ),2017-02-02,낙동강,광산천,,21.77
하신천,지방,경북안동풍천,어담(거물억),경북안동풍천,광산천(지방) 합류점,경북88호 (1969-07-02 ),2010-02-22,낙동강,광산천,하신천,7.7
신평천,지방,경북의성신평,중하 1458,경북의성신평,쌍호 932-110 낙동강(국가) 합류점,경북536호 (1966-04-22 ),2018-09-06,낙동강,신평천,,19.61
봉정천,지방,경북의성다인,달제,경북의성다인,봉정 낙동강(국가) 합류점,경북536호 (1966-04-22 ),2018-11-08,낙동강,봉정천,,5.53
가계천,지방,경북봉화봉성,금봉리 204-11번지선,경북봉화봉화,삼계리 166-2번지선 내성천(지방)합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,가계천,8.68
창평천,지방,경북봉화봉성,경북봉화봉성,경북봉화봉성,금봉리산156-5번지선 가계천합류점,경북88호 (1969-07-02 ),2014-07-17,낙동강,내성천,가계천,5.49
동막천,지방,경북봉화물야,북지리 136-3번지선,경북봉화봉화,삼계리 916-1번지선 가계천합류점,경북88호 (1969-07-02 ),2014-07-17,낙동강,내성천,가계천,3.89
낙화암천,지방,경북영주부석,우곡리372-1번지선,경북봉화봉화,문단리12-1번지선 내성천(지방)합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,낙화암천,14.1
행계천,지방,경북봉화물야,두문리896번지선,경북영주부석,감곡리 483-4번지선 낙화암천합류점,경북88호 (1969-07-02 ),2014-07-17,낙동강,내성천,낙화암천,6.32
토일천,지방,경북봉화봉성,봉성리 372-1번지선,경북영주평은,천본리 691번지선 내성천(지방)합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,토일천,19.2
구천,지방,경북봉화상운,하눌리1217-3번지선,경북영주평은,천본리 48번지선 토일천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,토일천,10.56
서천,지방,경북영주풍기,동부리36-3번지선,경북영주문수,승문리1817-1번지선 내성천(지방)합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,서천,21.97
남원천,지방,경북영주풍기,수철리 201-1번지선,경북영주풍기,동부리 36-3번지선 서천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,서천,8.25
금계천,지방,경북영주풍기,금계리17번지선,경북영주풍기,동부리32-9번지선 서천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,서천,5.27
죽계천,지방,경북영주순흥,내죽리383-1번지선,경북영주고현,359-1번지선 서천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,서천,12.79
사천,지방,경북영주단산,옥대리 911번지선,경북영주단산,동원리 767-121번지선 죽계천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,서천,11.19
홍교천,지방,경북영주순흥,태장리1096번지선,경북영주창진,445-1번지선 죽계천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,서천,7.49
조와천,지방,경북영주조와,598-79번지선,경북영주고현,457-8번지선 서천합류점,경북88호 (1969-07-02 ),2014-07-17,낙동강,내성천,서천,5.8
석탑천,지방,경북안동북후,신전리494-1번지선,경북안동북후,석탑리 산38번지선 내성천(지방)합류천,경북88호 (1969-07-02 ),2014-07-17,낙동강,내성천,석탑천,6.14
옥계천,지방,경북영주안정,묵리363번지선,경북예천보문,옥천리 437-3번지선 내성천(지방)합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,옥계천,14.5
우곡천,지방,경북영주안정,여륵리524-4번지선,경북영주장수,화기리754-1번지선 옥계천 합류점,경북88호 (1969-07-02 ),2014-07-17,낙동강,내성천,옥계천,8.02
석관천,지방,경북영주봉현,노좌리242-3번지선,경북예천감천,마촌리 532번지선 내성천(지방)합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,석관천,15.29
한천,지방,경북예천상리,백석리100-1번지선,경북예천개포,동송리608-62번지선 내성천(국가)합류천,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,한천,27.38
용두천,지방,경북예천상리,용두리 810번지선,경북예천하리,우곡리 635-8번지선 한천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,한천,7.77
금곡천,지방,경북예천용문,두천리 718번지선,경북예천예천,생천리 66번지선 한천합류점,경북536호 (1966-04-22 ),2014-07-17,낙동강,내성천,한천,12.01
