하천명,하천등급,기점위치,기점경계위치,종점위치,종점경계위치,하천지정근거,하천고시일내역,본류명,1지류명,2지류명,하천연장(키로미터)
서정리천,지방,경북포항청하,유계,경북포항청하,용두해안,경북536호 (1966-04-22 ),2012-04-30,서정리천,,,7.12
곡강천,지방,경북포항신광,만석리,경북포항흥해,곡강리 동해안,경북536호 (1966-04-22 ),2017-08-28,곡강천,,,17.65
신광천,지방,경북포항신광,우각,경북포항신광,곡강천(지방) 합류점,경북536호 (1966-04-22 ),2012-04-30,곡강천,신광천,,4.71
초곡천,지방,경북포항흥해,대연,경북포항흥해,곡강천(지방) 합류점,경북536호 (1966-04-22 ),2010-02-22,곡강천,초곡천,,11.7
학림천,지방,경북포항흥해,학천,경북포항흥해,초곡천(지방) 합류점,경북88호 (1969-07-03 ),2011-07-14,곡강천,초곡천,학림천,4.6
여남천,지방,경북포항창포,창포(우창),경북포항여남,여남해안,경북536호 (1966-04-22 ),,여남천,,,4.25
칠성천,지방,경북포항상도,상도,경북포항항구,항구해안,경북88호 (1969-07-03 ),,칠성천,,,4.5
냉천,지방,경북포항오천,갈평,경북포항동촌,동촌해안,경북536호 (1966-04-22 ),2012-12-06,냉천,,,13.4
신광천,지방,경북포항오천,항사,경북포항오천,냉천(지방) 합류점,경북88호 (1969-07-03 ),2019-10-24,냉천,신광천,,7.5
대화천,지방,경북포항장기,정천리,경북포항장기,동해안,경북536호 (1966-04-22 ),2017-08-28,대화천,,,8.5
장기천,지방,경북포항장기,방산리 산530(유) 방산저수지,경북포항장기,신창리 동해 합류점,경북536호 (1966-04-22 ),2016-01-21,장기천,,,10.47
대종천,지방,경북경주양북,장항리 453번지선,경북경주양북,용당해안,경북25호 (1982-02-22 ),2017-11-16,대종천,,,14.78
호암천,지방,경북경주양북,호암리 400-2,경북경주양북,대종천(지방) 합류,경북88호 (1969-07-03 ),2017-11-16,대종천,호암천,,5.34
용동천,지방,경북경주양북,권이,경북경주양북,대종천(지방) 합류점,경북88호 (1969-07-03 ),2012-04-30,대종천,용동천,,7.21
나산천,지방,경북경주양남,상라리 363-1번지선,경북경주양남,나아해안,경북88호 (1969-07-03 ),2015-05-28,나산천,,,5.56
하서천,지방,경북경주양남,석읍리 312번지선,경북경주양남,하서해안,경북25호 (1982-02-22 ),2015-05-27,하서천,,,9.7
수렴천,지방,경북경주양남,상계리 658번지선,경북경주양남,수렴해안,경북25호 (1982-02-02 ),2015-05-28,수렴천,,,4.37
도동천,지방,경북울릉울릉,저동,경북울릉울릉,대저해안,경북536호 (1966-04-22 ),,도동천,,,0.7
태하천,지방,경북울릉서,태하리253-5(도),경북울릉서,태하리 동해안,경북536호 (1966-04-22 ),2014-12-01,태하천,,,1.61
석천,지방,경북상주모동,금계.반계천 (지방급)합류점,경북상주모동,"경북,충북도계", ,2004-12-20,금강,초강,석천,6.95
금계천,지방,경북상주화동,평산(복수),경북상주모동,석천(지방)  합류점,경북536호 (1966-04-22 ),2004-12-20,금강,초강,석천,10.2
삼포리천,지방,경북상주화동,판곡(마륜),경북상주모서,금계천(지방) 합류점,경북536호 (1966-04-22 ),2004-12-20,금강,초강,석천,13.03
이소천,지방,경북상주화서,상현(봉정),경북상주화동,삼포리천(지방) 합류점,경북536호 (1966-04-22 ),2018-11-08,금강,초강,석천,8.59
반계천,지방,경북상주공성,효곡,경북상주모동,석천(지방) 합류점,경북536호 (1966-04-22 ),2018-11-08,금강,초강,석천,10.7
