No,쉼터명칭,도로명주소,지번주소,시설유형,시설면적,이용가능인원(명),위도,경도
237,지품면사무소,경상북도 영덕군 지품면 경동로 7153,경상북도 영덕군 지품면 경동로 7153,관공서,198,76,36.448410082641935,129.28191576777175
238,지품중학교,경상북도 영덕군 지품면 지영로 7-3,경상북도 영덕군 지품면 지영로 7-3,학교,1314,505,36.449984372560266,129.28272690098103
239,축산면사무소,경상북도 영덕군 축산면 도곡길 67,경상북도 영덕군 축산면 도곡길 67,관공서,595,228,36.50892098217394,129.41430376356507
240,축산교회,경상북도 영덕군 축산면 축산항1길 9-4,경상북도 영덕군 축산면 축산항1길 9-4,교회,231,88,36.507073721410755,129.44193940776995
241,축산항초등학교,경상북도 영덕군 축산면 축산항초교길 2,경상북도 영덕군 축산면 축산항초교길 2,학교,691,266,36.509515704424516,129.4423286320086
242,축산항출장소,경상북도 영덕군 축산면 영덕대게로 2053,경상북도 영덕군 축산면 영덕대게로 2053,관공서,181,69,36.50567598107601,129.44173643984388
243,영해예주문화예술회관,경상북도 영덕군 영해면 318만세길 36,경상북도 영덕군 영해면 318만세길 36,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",2425,932,36.52978609789105,129.40504341192755
244,영해면사무소,경상북도 영덕군 영해면 예주3길 7,경상북도 영덕군 영해면 예주3길 7,관공서,661,254,36.53745629702496,129.4070827448596
245,영해중고등학교,경상북도 영덕군 영해면 예주길 135,경상북도 영덕군 영해면 예주길 135,학교,1700,653,36.5422290220435,129.4130279424899
246,영해초등학교,경상북도 영덕군 영해면 예주5길 22,경상북도 영덕군 영해면 예주5길 22,학교,813,313,36.53871695856834,129.41118588071595
247,병곡면사무소,경상북도 영덕군 병곡면 병곡길 72,경상북도 영덕군 병곡면 병곡길 72,관공서,604,232,36.602244433011506,129.41060131250887
248,인량1리경로당,경상북도 영덕군 창수면 인량2길 26,경상북도 영덕군 창수면 인량2길 26,경로당,90,34,36.554293119403695,129.3731718934295
249,창수면사무소,경상북도 영덕군 창수면 신기길 5,경상북도 영덕군 창수면 신기길 5,관공서,198,76,36.54627485607802,129.3482360450229
