순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
595,2021-011,2021-03-02,11:10:00,㈜라미나,경기 성남시 중원구 둔촌대로457번길 27,경기,성남시 중원구,화학반응기를 제조하는 사업장 실험실 내에서 화학반응기 샘플테스트 중 황산(94~96%)이 소량 누출되어 부상자가 발생한 사고,안전기준 미준수,누출,황산,,,0,0,1,0,,
596,2021-012,2021-03-03,8:10:00,㈜제이엠씨,울산 울주군 온산읍 이진로 71,울산,울주군,울산 울주군 소재 (주)제이엠씨 염화술폰산 제조공정에서 혼산예열기(1103C)와 증발기(1055C) 사이 배관이 부식되어 원료물질인 발연황산(23~27%) 및 염화수소(가스)가 약 5분 가량 누출    - 테프론 라이닝 탄소 강관(STPG 38)의 부식에 의한 누출(추정),시설 결함,누출,발연황산&염화수소,,,0,0,0,0,,
597,2021-013,2021-03-05,20:28:00,사조씨푸드㈜,부산  서구 원양로 71,부산,서구,"사조씨푸드(주) 물류센터 냉장·냉동창고 냉매(암모니아) 공급배관(직경 40㎜, 10m) 교체 후 암모니아 주입테스트 중 용접불량 부위로 암모니아 가스 약 20kg이 누출(최대량 추정)- 누출 배관 차단조치 완료, 사고원점 잔류가스는 고압산소 주입, 소방수를 통한 희석·제거 완료 ,  동 사고로 주변환경 영향 및 인명피해는 없음   ※ 건물 입구, 주변 및 풍향 영향권(2㎞) 주거지역 측정결과 암모니아 불검출",안전기준 미준수,누출,암모니아,,,0,0,0,0,,
598,2021-014,2021-03-07,11:23:00,명성통운㈜,경남 거창군 북상면 월성리 1066-2,경남,거창군,"경남 거창군 북상면 국도(37호선)상에 정차중이던 황산 탱크로리(명성통운(주), 허가용량 13,600ℓ) 좌측면 상단부에 핀홀*이 발생하여 110㎏(개근량 추정)의 황산이 도로상에 유출",운송차량,누출,황산,,,0,0,0,0,,
599,2021-015,2021-03-18,1:52:00,타코마테크놀러지㈜,충남 논산시 노성면 논산평야로 1168,충남,논산시,사업장 P1 제조시설(LCD기초소재 공정)에서 전처리 과정을 거친 혼합물질에 용매제(이소프로필 에테르)를 투입하는 정제 공정 중 폭발 후 화재 발생하여(추정) 사업장 건물 6개동 소실,안전기준 미준수,화재,이소프로필 에테르,,,1,0,7,0,,
600,2021-016,2021-03-18,9:00:00,대덕전자㈜ PKG,경기 시흥시 소망공원로 335,경기,시흥시,대덕전자㈜PKG 내 과산화수소(35%) 납품차 진입한 탱크로리 차량* 배관 연결부에서 과산화수소 누출(누출량 약 132L),운송차량,누출,과산화수소,,,0,0,0,0,,
601,2021-017,2021-03-23,14:28:00,에스폼알파㈜,경기 안산시 단원구 해봉로 334,경기,안산시 단원구,사업장 내 PCB 제조공정의 염소산나트륨 취급시설에서 오버플로우가 발생하여 염소산나트륨(15~30%)이 약 5 L 누출된 사고,시설 결함,누출,염소산나트륨,,,0,0,0,0,,
602,2021-018,2021-04-03,17:26:00,씨에스아이엠㈜,충남 예산군 고덕면 예당산단7길 32,충남,예산군,전자재료 중간체 제조공정 중 원인미상의 폭발 및 화재 발생,시설 결함,폭발,톨루엔&황산(기준함량 미만),,,0,0,2,0,,
603,2021-019,2021-04-05,9:30:00,㈜그린이노텍,충북 충주시 대소원면 기업도시1로 47,충북,충주시,솔더링 공정 상 포름산 이송배관 부식으로 파손되어 약 100~200ml 누출,시설 결함,누출,포름산,,,0,0,0,0,,
604,2021-020,2021-04-06,11:34:00,SK하이닉스㈜ 이천사업장,경기 이천시 부발읍 경충대로 2091,경기,이천시,협력사(위드텍) 직원 2명이 해당 장비 설치 중 불산 혼합물(추정)에 누출(소량)되어 해당 직원 2명 및 주변에 있던 SK하이닉스(주) 직원 1명이 병원 후송 *인명피해 3명 중 2명은 이상없음 확인,안전기준 미준수,누출,불산,,,0,0,1,0,,
605,2021-021,2021-04-07,1:20:00,삼양이노켐㈜,"전북 군산시 오식도동 812-3, 군산해상교통관제센터 앞 도로상",전북,군산시,군산 제6부두 선박에서 삼양이노켐(주)으로 페놀을 이송하는 지하사외배관이송시설 파손(페놀 이송을 위한 관로 기밀테스트 중 가압과정에서 관로가 파손된 것으로 추정)으로 배관 내 잔여 페놀이 도로상으로 약 50L(수거량 기준) 누출,시설 결함,누출,페놀,,,0,0,0,0,토양오염,
606,2021-022,2021-04-07,9:03:00,㈜에프알디,충북 진천군 이월면 장수로 343-1,충북,진천군,아산화질소 제조 공정에서 질산암모늄이 투입된 반응기가 폭발(추정),시설 결함,누출,질산암모늄,,,0,0,0,0,,
607,2021-023,2021-04-09,10:30:00,한일냉장㈜,부산  사하구 원양로 319,부산,사하구,1층 냉동창고 제2동결실 냉매(암모니아 가스) 공급배관 결함으로 암모니아 가스 누출,시설 결함,누출,암모니아,,,0,0,1,0,,
608,2021-024,2021-04-14,14:29:00,연세대학교,"서울 서대문구 연세로 50, 연세대학교 GS칼텍스 산학협력관 2층 에너지소재 연구실",서울,서대문구,"실험이 끝나고 염화티오닐을 폐기처리하던 중 폐액통 내에 물과 반응하여 미량의 액체가 처리하던 인원 안면부에 튀며, 손에 들고 있던 플라스틱 용기를 바닥에 떨어뜨려 염화티오닐 누출",안전기준 미준수,누출,염화티오닐,,,0,0,1,0,,
609,2021-025,2021-04-16,6:40:00,효성첨단소재㈜,울산 남구 납도로 30,울산,남구,"사업장 내 황산(98%) 저장시설(75㎥)의 센서 연결부 파손으로 약 1,000 L의 황산이 방류벽 및 사업장 배수로에 누출",시설 결함,누출,황산,,,0,0,0,0,,
610,2021-026,2021-04-16,10:19:00,태경케미컬㈜,충남 서산시 대산읍 독곶2로 96-43,충남,서산시,노후배관(5m) 교체 작업과정에서 배관 내 잔류하고 있던 암모니아 가스 누출,안전기준 미준수,누출,암모니아,,,0,0,0,0,,
611,2021-027,2021-04-30,9:08:00,㈜LG화학,전남 여수시 여수산단4로 58,전남,여수시,"CA2공장 내 정비 및 보수 작업 중, 열교환기 부속 블라인드 플랜지 설치 과정에서 볼트 해체 시 잔여 염소가스 누출",안전기준 미준수,누출,염소,,,0,0,0,0,,
612,2021-028,2021-05-02,5:01:00,한국앤켐퍼니㈜ 전주공장,전북 완주군 봉동읍 완주산단2로 40,전북,완주군,연판 주조 공정(WCRS) 홀딩포트(8.3㎥)의 레벨게이지가 작동하지 않아 용량을 초과한 납이 월류되어 누출,시설 결함,누출,납,,,0,0,0,0,,
613,2021-029,2021-05-05,,LG디스플레이㈜ 파주공장,경기 파주시 월롱면 엘지로 245,경기,파주시,P8 공장 지하4층 약품실을 육안 점검 하던 작업자의 안전모가 드레인 포트에 부딪치며 플랜지 부위의 드레인포트 밸브가 파손되어 염산(19%) 약 1 L 누출,안전기준 미준수,누출,염산,,,0,0,0,0,,
614,2021-030,2021-05-06,17:33:00,한국과학기술원,서울 성북구 화랑로14길 5,서울,성북구,L4 실험동 고분자연구실에서 시약을 폐기하는 과정에서 폐액의 이상반응으로 인해 비산되면서 연구원 1명 부상,안전기준 미준수,기타,아크릴산,,,0,0,1,0,,
615,2021-031,2021-05-06,19:44:00,그린텍(벤텍스㈜ 부지 내),경기 포천시 해룡로 109-180,경기,포천시,외부 발화원에 의해 연소 확대되어 사업장 내부에 보관 중이던 메틸에틸케톤이 화재로 인해 소실,시설 결함,화재,메틸에틸케톤,,,0,0,0,0,,19600 만원
616,2021-032,2021-05-10,9:19:00,인테그리스코리아㈜,경기 화성시 장안면 장안공단3길 16,경기,화성시,디이오도실란을 폐기하기 위하여 폐기물 처리 용기로 옮겨 담는 과정 중 해당 용기에서 폭발,안전기준 미준수,폭발,디요오드실란,,,0,0,1,0,,
617,2021-033,2021-05-10,23:53:00,대흥수산,전남 목포시 삼학로92번길 6-1,전남,목포시,암모니아 설비(냉매 사용시설)에서 암모니아 회수 작업 중 플로트 스위치 연결 배관의 노후화로 균열이 발생하여 암모니아 가스 누출,시설 결함,누출,암모니아,,,0,0,0,0,,
618,2021-034,2021-05-12,15:17:00,㈜위매스,충북 제천시 바이오밸리로 107-2,충북,제천시,포토레지스터 제조과정에서 발생한 반응 부산물(메탄올+물+음이온교환수지)에서 메탄올 여과 후 잔류된 음이온교환수지 제거 작업 중 발생한 유증기로 인한 화재 발생,안전기준 미준수,화재,메탄올,,,0,0,1,0,,
619,2021-035,2021-05-14,11:44:00,㈜동산물류,"울산 울주군 청량읍 덕하리, 동해고속도로(부산방면) 청량IC 인근",울산,울주군,"수처리제*(비유해화학물질, 위험물 제4류제2석유류) 이동식 용기(1.5m3)의 하부 밸브가 운행 중 개방되어 도로상으로 누출",운송차량,누출,수처리제,,,0,0,0,0,,
620,2021-036,2021-05-14,13:30:00,부천하수종말처리장,경기 부천시 벌말로 220,경기,부천시,실험실에서 시약을 제조하던 중 비커 파손으로 인해 황산 누출,안전기준 미준수,누출,황산,,,0,0,0,0,,
621,2021-037,2021-05-21,13:29:00,애경산업㈜,대전  유성구 신성남로 120,대전,유성구,시약장 내 폐유기용제 용기에 기기분석 폐시약(과염소산염)을 처리하는 과정에서 폭발,안전기준 미준수,폭발,과염소산염,,,0,0,1,0,,
622,2021-038,2021-05-22,8:21:00,세일전자㈜,인천 남동구 남동동로 281,인천,남동구,옥외 저장시설(5㎥)에서 생산라인으로 이송되는 배관의 밸브 후단 플랜지에서 과산화수소(34%) 약 1톤 누출,시설 결함,누출,과산화수소,,,0,0,0,0,,
623,2021-039,2021-05-24,3:03:00,동림특수유조㈜,"충남 보령시 청소면 신송리 131, 서해안고속도로 광천IC 인근 도로상",충남,보령시,"교통사고로 염산 탱크로리(22 톤) 전도, 탱크로리의 밸브 열림으로 염산(35%) 약 3 L 누출",운송차량,누출,염산,,,0,0,0,2,,
624,2021-040,2021-05-25,3:03:00,KG동부제철,충남 당진시 송악읍 북부산업로 1228,충남,당진시,페인트 저장시설 세척 후 신너(세척용)를 제거하는 과정에서 신나 회수용 밸브 조작 미숙으로 작업자 안면 부상,안전기준 미준수,누출,신나(자일렌10%),,,0,0,1,0,,
625,2021-041,2021-05-26,10:29:00,서울대학교,"서울 관악구 관악로 1, 서울대학교 화학공정신기술연구소",서울,관악구,화학공정신기술연구소(311동) 실험실(316호)에서 대학원생이 실험 중 질산(70 %) 시약병(1 L)이 폭발하면서 누출,안전기준 미준수,누출,질산암모늄,,,0,0,1,0,,
626,2021-042,2021-05-27,8:17:00,㈜포스코,경북 포항시 남구 동해안로 6262,경북,포항시 남구,"신설 부생복합발전 배관 취합작업을 위해, FOG(finex off gas)가스 배관을 차단하는 과정에서 작업자 중 1명이 어지러움 증상으로 병원 이송 * 환자 이상없음 확인",안전기준 미준수,누출,일산화탄소,,,0,0,0,0,,
627,2021-043,2021-06-02,2:46:00,제일씨앤피㈜,경북 칠곡군 왜관읍 2산업단지3길 22-14,경북,칠곡군,알루미늄 호일의 불순물을 제거하기 위해 수산화나트륨(4.8%)을 사용하는 과정에서 수산화나트륨 순환공급 장치 후단에 있는 유량계에서 누액이 발생한 것을 확인하고 점검(절연 테이프로 임시차단) 중 유량계가 파손되면서 수산화나트륨이 작업자 안면부에 분출되어 인명피해 발생,시설 결함,누출,수산화나트륨,,,0,0,2,0,,
628,2021-044,2021-06-02,11:06:00,일성냉동,부산  사하구 다대로320번길 10,부산,사하구,4층 기계실의 냉동기(10기 중 1기) 헤드 개스킷 결함으로 냉동기 내부에 체류하던 암모니아 가스 극소량 누출,시설 결함,누출,암모니아,,,0,0,0,0,,
629,2021-045,2021-06-02,17:47:00,한솔케미칼,충남 천안시 동남구 성남면 5산단1로 22,충남,천안시 동남구,사업장 내 저장시설로 이송하기 위해서 정차 된 탱크로리(20톤)에서 이상반응으로 탱크로리 상부 파열판이 파손되면서 적재되어 있는 과산화수소(54%) 4~5ton 누출,운송차량,누출,과산화수소,,,0,0,0,0,,
630,2021-046,2021-06-04,11:20:00,한국수자원공사,경기 과천시 교육원로 11,경기,과천시,실험자가 수질 내 이산화규소 검사를 위해 질산을 활용한 표준용액을 만드는 중 손에서 코니칼 튜브가 미끄러져 질산 약 30 mL가 누출되며 인명피해 발생,안전기준 미준수,누출,질산,,,0,0,1,0,,
631,2021-047,2021-06-07,15:23:00,용원초등학교,경남 창원시 진해구 용원로78번길 11,경남,창원시 진해구,3층 과학실 청소 과정에서 교사 5명이 생물 표본병을 옮기다가 표본병 1개가 파손되어 과학실 바닥에 표본액(포르말린) 약 1L 누출,안전기준 미준수,누출,포르말린,,,0,0,0,0,,
632,2021-048,2021-06-07,15:46:00,㈜골드앤에스,전북 군산시 산단동서로 44-30,전북,군산시,사업장 내 방치되어 있던 폐기물(20L 용기 2개)이 공기 중의 수분과 반응하면서 염화수소 생성과 함께 액상 폐기물 약 30L,안전기준 미준수,누출,사염화규소,,,0,0,0,0,,
633,2021-049,2021-06-08,,OCI㈜ 익산공장,전북 익산시 보석로4길 107,전북,익산시,고순도 과산화수소 제조공정의 밸브 내부 과압 발생으로 파열판이 터져 과산화수소(31%) 약 23.8ton 누출,안전기준 미준수,누출,과산화수소,,,0,0,0,0,,
634,2021-050,2021-06-21,13:50:00,㈜효성 중공업연구소,경기 안양시 동안구 시민대로 74,경기,안양시 동안구,"해당 연구소는 ㈜효성 중공업 개발품에 대한 시험평가 등의 업무를 맡고 있는 곳으로 화학물질을 취급하는 곳이 아니며, 작업자가 업무 외 개인적인 활동으로 화학물질(적린)을 혼합하는 중 폭발이 발생하여 부상",안전기준 미준수,폭발,적린,,,0,0,1,0,,
635,2021-051,2021-06-23,10:50:00,태일화학,"경기 시흥시 공단2대로139번길 10, 711호",경기,시흥시,도료 제조과정에 사용되는 반응기에 메틸메타크릴레이트 등 원료물질을 투입하는 과정에서 폭발이 발생하여 작업자 부상,시설 결함,폭발,메틸메타크릴레이트,,,0,0,2,0,,
636,2021-052,2021-06-26,17:52:00,㈜오뚜기 포승공장,경기 평택시 포승읍 포승공단로 2,경기,평택시,냉동기에 정수된 물 공급이 일시적으로 끊기면서 냉동기 압력상승으로 안전밸브가 작동하여 암모니아(냉매) 소량이 물탱크(안전장치)로 이송되면서 물탱크에서 냄새가 발생,시설 결함,누출,암모니아,,,0,0,0,0,,
637,2021-053,2021-06-28,9:05:00,삼양운수㈜,"경기 평택시 청북읍 고잔리 산126-13, 도로상",경기,평택시,카고 트럭의 급정차로 적재 되어있던 포름산(85%) IBC탱크(1.2 톤)의 하부가 앞 적재물 나무파레트에 충돌하여 파손되면서 포름산 약 200L 누출,운송차량,누출,포름산,,,0,0,0,0,,
638,2021-054,2021-07-02,11:13:00,그린케미칼,인천 남동구 고잔로51번길 30,인천,남동구,옥내시설에서 황산 IBC탱크 교체 및 이동작업 중에 용기 하단 배출구 밸브 파손으로 황산 약 500L 누출,시설 결함,누출,황산,,,0,0,2,0,,
639,2021-055,2021-07-03,,㈜에이티앤에스코리아,경기 안산시 단원구 신원로 289,경기,안산시 단원구,사업장 내 전기동 도금조 청소를 위해 도금조 내의 도금액(황산14.2% 함유) 약 11ton을 홀딩탱크로 이송한 후 홀딩탱크 하부지점 크랙 발생으로 도금액 전량 누출,시설 결함,누출,황산,,,0,0,0,0,,
640,2021-056,2021-07-06,8:42:00,한화솔루션㈜,전남 여수시 여수산단3로 117,전남,여수시,한국바스프㈜에서 한화솔루션㈜로 연결된 한화솔루션㈜의 사외배관 플랜지 볼트의 조임력 상실로 인해 염산(35%) 약 8 kg 누출,시설 결함,누출,염산,,,0,0,0,0,,
641,2021-057,2021-07-07,4:52:00,㈜두레건축냉동,경기 김포시 대곶면 대곶북로 121-2,경기,김포시,냉동시스템의 배관이 부식 등으로 손상되며 발생한 크랙에서 암모니아가스 약 1ton 누출,시설 결함,누출,암모니아,,,0,0,3,0,,
642,2021-058,2021-07-07,7:07:00,삼양화학,경기 양주시 남면 화합로430번길 229-30,경기,양주시,"보관시설 내 과산화수소 저장탱크에서 밸브 파손으로 과산화수소(32%) 5,000L 누출",시설 결함,누출,과산화수소(32%),,,0,0,0,0,,
643,2021-059,2021-07-07,13:50:00,세종산업가스㈜,세종 전동면 운주산로 638,세종,전동면,"사업장 내 보관 중인 염화수소 저장용기(봄베, 25kg)의 노후화에 따른 안전핀 파손으로 용기 내 잔류하던 염화수소 약 5kg 누출",시설 결함,누출,염화수소,,,0,0,0,0,,
644,2021-060,2021-07-08,17:17:00,버슘머트리얼즈피엠코리아(유),경기 시흥시 협력로 143,경기,시흥시,트리실일아민 저장탱크 설비의 내부 세척을 위해 수산화칼륨(45%) 투입 중 저장탱크 상단 개구부에서 폭발 및 화재 발생,안전기준 미준수,폭발,트리실일아민,,,0,0,2,1,,
645,2021-061,2021-07-12,9:55:00,금정특수화물㈜,"경남 양산시 물금읍 제방로 225, 양산ICD 주차장",경남,양산시,양산ICD 주차장에 주차 중이던 황산(70t%) 탱크로리 상부 통기밸브를 통해 황산이 주차장 내 3L 누출,운송차량,누출,황산(70%),,,0,0,0,0,,
646,2021-062,2021-07-15,16:47:00,삼성디스플레이㈜,충남 아산시 탕정면 탕정로 380-2,충남,아산시,클린룸 설비 유지보수 작업 중 내부 약액 농도 보정장치 밸브에서 수산화테트라메틸암모늄(2.38%)이 누출되어 인명피해 발생,시설 결함,누출,수산화테트라메틸암모늄(2.38%),,,0,0,1,0,,
647,2021-063,2021-07-16,3:15:00,태광화학공업㈜,충북 음성군 금왕읍 무극로 229,충북,음성군,"먹지 첨가제 생산을 위해 카본블랙, 분산제, 물을 혼합 후 이송작업 중 펌프 파손으로 인해 약 5.5ton의 카본블랙 혼합물 누출",시설 결함,누출,카본블랙(99.5%),,,0,0,0,0,하천유입,
648,2021-064,2021-07-16,10:08:00,원진특수㈜,전북 임실군 관천면 방현리 123-1(순천완주고속도로 하행선 93km 지점),전북,임실군,수산화나트륨(50%)이 적재된 탱크로리(27ton) 차량이 주행 중 핸들 과조작으로 차체 중심을 잃고 전도되어 상부 마개에서 수산화나트륨(50%) 150kg 누출,운송차량,누출,수산화나트륨(50%),,,0,0,0,0,,
649,2021-065,2021-07-17,0:50:00,㈜비봉케미칼,울산 울주군 온산읍 화산로 219,울산,울주군,"사업장 내 옥외 염산(16 %) 저장탱크의 하부 배관 플랜지 체결 불량으로 염산 약 5,500L 누출",시설 결함,누출,염산(16%),,,0,0,0,0,사업장 인접 산림 일부 및 농작물 고사 피해,
650,2021-066,2021-07-24,10:34:00,㈜팜한농,경기 안산시 단원구 해안로 131,경기,안산시 단원구,작업자가 황산 저장탱크 배관 밸브 조작 중 벨로우즈 부분에서 황산 약 500 ml가 누출되어 작업자의 얼굴에 튄 사고,시설 결함,누출,황산,,,0,0,1,0,,
651,2021-067,2021-07-29,,㈜한정물류,"전북 군산시 외항로 82, OCI㈜ 군산공장 후문 앞 도로상",전북,군산시,염산 탱크로리 하부에 핀홀이 발생하여 도로상에 염산(35%) 약 10kg 누출,운송차량,누출,염산(35%),,,0,0,0,0,,
652,2021-068,2021-07-29,22:06:00,㈜종근당,충남 천안시 서북구 성거읍 망향로 797-48,충남,천안시 서북구,작업자가 정제수 탱크(1㎥)의 pH 조절 작업 중 넘어지면서 탱크 옆에 2단으로 적재된 수산화나트륨 용기를 건드려 용기가 낙하하고 약 10L(추정) 누출되며 인명피해 발생,안전기준 미준수,누출,수산화나트륨(4.5%),,,0,0,1,0,,
653,2021-069,2021-08-03,17:37:00,경희대학교 국제캠퍼스,경기 용인시 기흥구 덕영대로 1732,경기,용인시 기흥구,캠퍼스 내 실험실에서 리튬을 소량씩 물에 반응시켜 그 폐액을 처리하던 중 물질 반응으로 폭발이 발생하여 1명 부상(추정),안전기준 미준수,폭발,리튬,,,0,0,1,0,,
654,2021-070,2021-08-05,20:53:00,자경케미칼㈜,충남 천안시 서북구 성거읍 성거길 196,충남,천안시 서북구,"사업장 내 염화 메틸렌(MC, 디클로로메탄) 농축한 것을 회수하는 작업 중에 이중밸브 개폐 착오로 극소량이 밸브를 통해 작업자 바지에 튀는 사고",안전기준 미준수,누출,다이클로로메탄,,,0,0,1,0,,
655,2021-071,2021-08-09,18:54:00,㈜아이티켐,충북 청주시 청원구 오창읍 양청송대길 231,충북,청주시 청원구,사업장 내 6-FDA 합성공정을 위한 원료투입 단계에서 반응기(R-G305)에 과망간산칼륨을 투입하는 작업 중 혼합된 물질(t-부탄올+물+과망간산칼륨)이 이상반응으로 역류하여 반응기 맨홀을 통해 외부로 누출되어 작업자(4명) 부상 발생,시설 결함,기타,과망간산칼륨,,,0,0,4,0,,
656,2021-072,2021-08-10,14:27:00,보금물류㈜,"울산 울주군 청량읍 용암리 110, 용암교차로 인근 도로상",울산,울주군,"울산 울주군에서 경북 김천시로 운행하던 탱크로리 차량*이 용암교차로에서 청량IC 진입 전에 전도, 적재 중이던 24.98톤 메틸 알코올(99~100%) 15.66톤(회수량: 9.32톤)이 도로상으로 누출",운송차량,누출,메틸알코올,,,0,0,0,1,,
657,2021-073,2021-08-13,16:20:00,㈜모도리파머스,충남 보령시 청라면 질마재길 28-41,충남,보령시,농장에서 창고 내부 정리정돈 중 보관되어 있던 질산 용기(20 L) 5개 중 1개가 넘어져 파손되어 질산이 약 6 L 누출된 사고(추정),안전기준 미준수,누출,질산,,,0,0,1,0,,
658,2021-074,2021-08-16,7:34:00,㈜에스엠물류,"전남 여수시 산단중앙로 75, 남북산업주유소 주차장",전남,여수시,염산 운반차량 하부 부식으로 인한 미세 리크 발생되어 염산 10L(추정)가 누출된 사고,운송차량,누출,염산,,,0,0,0,0,,
659,2021-075,2021-09-01,17:03:00,미광냉동㈜,부산  사하구 다대로605번길 25,부산,사하구,사업장 내 냉장·냉동창고 암모니아 탱크(7층)에서 저압수액기실(지하 1층)로의 이송배관 부식 파손으로 냉매용 암모니아 가스 누출,시설 결함,누출,암모니아,,,0,0,0,0,,
660,2021-076,2021-09-02,17:20:00,명성통운㈜,"충남 서천군 삼산리 623-21, 인근 도로상",충남,서천군,충남 서천군 서천읍 삼산리 623-21 소재 도로상(군산→서천방향)에서 25톤 탱크로리차량(염산 35%) 옆면이 파공되면서 염산 누출된 사고,운송차량,누출,염산,,,0,0,0,0,,
661,2021-077,2021-09-09,20:51:00,㈜포스코케미칼,경북 구미시 산동읍 첨단기업1로 87,경북,구미시,사업장 내 양극제 제조 공정 중 전구체* 합성을 위해 사용되는 암모늄수산화물을 이송하는 과정에서 다이어프램 펌프**와 서지탱크***를 연결하는 플렉시블 호스 연결부에 펌프 가동 충격이 발생하면서 유격이 발생하여 암모늄수산화물 약 545.8kg(추정치)이 방류벽 및 우수로를 통해 외부로 누출된 사고,시설 결함,누출,암모니아수(28%),,,0,0,0,0,,
662,2021-078,2021-09-28,8:55:00,㈜유진,전남 여수시 망양로 514-16,전남,여수시,지난 9월 20일(월) 화재가 발생했던 식품가공 공장에서 시설 철거 작업 중 포클레인에 의해 배관이 파손되면서 배관 내 잔류암모니아 누출,안전기준 미준수,누출,암모니아,,,0,0,0,0,,
663,2021-079,2021-10-01,16:35:00,영풍전자㈜,경기 안산시 단원구 범지기로 141번길 50,경기,안산시 단원구,사업장 내에서 작업자가 스팀배관 보수 중 질산 여과기의 퍼지밸브를 실수로 개방시켜 내부에 있던 질산(68%)이 누출 되면서 작업자가 부상을 입은 사고(누출량 약 0.5 L 추정),안전기준 미준수,누출,질산,,,0,0,1,0,,
664,2021-080,2021-10-23,15:10:00,에스케이피아이씨글로벌㈜,울산 남구 용잠로 255,울산,남구,"사업장 내 HPPO 제조공정에서 작업자가 황산(95~99%) 배관 자동밸브 정비를 위해 게이트 밸브 후단 플러그를 제거하는 순간 미량의 황산이 하부배관으로 누출(약 24.5cc, 추정), 배관 표면을 따라 흐르다 작업자 작업복에 접촉되어 부상(2도 화상)을 입은 사고",안전기준 미준수,누출,황산,,,0,0,1,0,,
665,2021-081,2021-10-26,8:55:00,동광화학㈜,"경기 화성시 비봉면 자안리 540-7 인근, 서해안고속도로상",경기,화성시,"암모니아 가스용기를 운반 중인 5ton 차량(동광화학㈜, 90더2437)에서 누전으로 발화되어, 압력 상승으로 25kg 가스용기 5개의 안전밸브에서 암모니아 누출, 현장 수습 후 동광화학㈜로 이송하여 처리하는 과정 중 암모니아 추가 누출된 사고",운송차량,누출,암모니아,,,0,0,0,0,,
666,2021-082,2021-10-28,8:42:00,㈜케이디캠,대구  달서구 성서공단로 346,대구,달서구,대구물류터미널 안 주차장에 주차중인 황산 적재 탱크로리차량(24톤) 옆면에 크랙(Crack)으로 인하여 황산이 누출된 사고,운송차량,누출,황산,,,0,0,0,0,,
667,2021-083,2021-10-15,,서울우유협동조합 양주공장,경기 양주시 고덕로 139번길 360,경기,양주시,질산을 사용했던 유해화학물질 취급시설(CIP설비) 철거 과정에서잔류 질산이 누출되어 작업자 2명이 부상을 입은 사고,안전기준 미준수,누출,질산,,,0,0,2,0,,
668,2021-084,2021-11-01,11:15:00,㈜엔코,경북 칠곡군 약목면 칠곡대로 472-12,경북,칠곡군,"사업장 내 염산(35%)저장탱크(총 용량 15㎥)에서 제조, 사용시설로 이송하는 과정 중 이송펌프 하단에서 원인미상의 리크(leak)가 발생하여 염산이 방류벽 및 사업장 내 우수로에 약 730L(추정치) 누출된 사고",시설 결함,누출,염산,,,0,0,0,0,,
669,2021-085,2021-11-02,18:31:00,㈜한솔케미칼,전북 완주군 봉동읍 과학로 873,전북,완주군,"사업장 내 라텍스 제조공정의 1,3-부타디엔(99%) 실외저장시설(총 용량: 151.4㎥) 상부 3way-밸브 플랜지 가스킷 손상으로 1,3-부타디엔 약 80kg(추정)이 누출된 사고",시설 결함,누출,"1,3-부타디엔",,,0,0,0,0,,
670,2021-086,2021-11-03,15:33:00,㈜우창금속,경기 안산시 단원구 해안로 309-14,경기,안산시 단원구,"사업장 내 실험실에서 작업자의 오인으로 제조된 에칭액을 질산 시약병에 담아 밀폐시켜, 질산과 에칭액의 이상반응으로 인해 질산 시약병이 폭발하여 약 0.5L 누출된 사고",안전기준 미준수,폭발,질산,,,0,0,1,0,,
671,2021-087,2021-11-11,21:22:00,㈜유신상사,전남 여수시 율촌면 취적리 292-1,전남,여수시,"주유소 인근 염산 탱크로리 우측 후미 부위에서 염산이 소량(약 500mL 미만, 추정) 누출된 사고",운송차량,누출,염산,,,0,0,0,0,,
672,2021-088,2021-11-12,12:24:00,㈜글로벌로지텍,경남 창원시 진해구 신항10로 19,경남,창원시 진해구,사업장 내 당일 입고된 컨테이너 환적 작업 중 적재된 m-크레졸 드럼(200L) 15개 중 1개가 하부 이음새 부분에 미세한 균열이 발생하여 약 11kg 누출,시설 결함,누출,m-크레졸,,,0,0,0,0,,
673,2021-089,2021-11-21,18:31:00,율석수산,전남 목포시 달동 1334번지,전남,목포시,달동 신항교차로 인근에서 1톤 화물차량 운행 중 염산 용기 1개가 낙하되어 염산(10L 추정)이 누출된 사고,운송차량,누출,염산,,,0,0,0,0,,
674,2021-090,2021-12-08,15:53:00,대전보운초등학교,대전  중구 대종로315번길 42,대전,중구,교내 과학실에서 폐표본용기 처리 과정중에 표본용기(1.5L) 3~4개를 떨어뜨려 포르말린이 누출된 사고,안전기준 미준수,누출,포르말린,,,0,0,0,0,,
675,2021-091,2021-12-10,15:17:00,㈜한정물류,경기 부천시 오정로 38,경기,부천시,㈜영진에서 운반업체인 한정물류의 운전자가 수산화나트륨을 하역하기 위하여 이송 호스에 연결 중 호스에 있던 수산화나트륨이 소량(잔량) 누출된 사고,안전기준 미준수,누출,수산화나트륨,,,0,0,1,0,,
