순번,연번,사고일자,소방접수시간,사고업체명,주소,시도,시군구,사고내용,사고원인,사고유형,제1사고물질,제2사고물질,제3사고물질,사망_직접,사망_기타,부상_직접,부상_기타,환경피해,재산피해
268,2016-049,2016-07-04,23:31:00,엘에스 특수,"경북 김천시 봉산면 광천리 산 180-6번지, 추풍령휴게소(상행선)",경북,김천시,"경부고속도로 상행선 추풍령휴게소 내 정차하고 있던 에틸아세테이트 탱크로리(25,140L 적재)의 밸브 부분을 서행 중 인 화물차량(카고 24톤)이 추돌하여 주입구 T형 플랜지 부분이 파손 사고 - 플랜지 파손으로 약 200∼300L 에틸아세테이트(99.8%)가 휴게소 주차장으로 유출",운송차량,누출,에틸아세테이트,,,0,0,0,0,,
269,2016-050,2016-07-06,12:01:00,대성여자중학교,대전  동구 대성2길 20 대성여자중학교 과학실,대전,동구,지진(7월 5일 발생)의 여파로 과학실 진열대 선반이 무너지면서 표본병 8개가 파손되어 포르말린 약 10리터(추정) 정도 유출된 사고,시설 결함,누출,폼알데하이드,,,0,0,0,0,,
270,2016-051,2016-07-13,10:07:00,신우 농수산,"부산  사하구 다대동로 6번길 21, 신우농수산 제2공장",부산,사하구,지하 1층 냉동창고 내 노후된 배관이 부식되어 냉매용으로 사용하는 암모니아 가스가 누출된 사고(부산소방본부 상황보고서),시설 결함,누출,암모니아,,,0,0,0,0,,
271,2016-052,2016-07-15,3:25:00,더본냉장,경기 오산시 동부대로 468-31 더본냉장,경기,오산시,냉동창고 지하 2층 기계실 저압탱크와 압축기 사이 플랜지에서 냉매용으로 사용하는 암모니아 약 5~6리터가 누출된 사고,시설 결함,누출,암모니아,,,0,0,6,0,,
272,2016-053,2016-07-21,12:27:00,우영 C&P,울산 남구 두왕동 136-5 신두왕사거리 도로상,울산,남구,운반차량에서 적재되어 있던 황산저장 플라스틱용기 4개가 도로상에 낙하하여 이 중 3개의 저장용기가 파손되어 황산이 약 45L유출된 사고  ,운송차량,누출,황산,,,0,0,0,0,,
273,2016-054,2016-07-26,7:56:00,KOC 솔루션,"세종 부강면 금호선말길 64, ㈜KOC솔루션",세종,부강면,(주)KOC솔루션 사업장에서 제품(KOC KR 70A) 보관 중이던 200L드럼통에서 미상의 원인으로 가스가 누출된 사고,시설 결함,누출,"2,3-에피티오프로판",,,0,0,0,0,,
274,2016-055,2016-07-27,18:05:00,노바켐텍,"경남 양산시 유산공단4길 50, 노바켐텍",경남,양산시,사업장 내 반응기에서 중합반응 중 미상의 원인에 의해 폭발음을 동반한 화재가 발생한 사고,시설 결함,화재,자일렌,에틸아세테이트,톨루엔,1,0,2,0,,
275,2016-056,2016-07-28,15:17:00,애드 바이오텍,"강원 춘천시 동내면 거두단지 1길 39, ㈜애드바이오텍",강원,춘천시,신제품 동물사료 원료 배합* 과정에서 폭발 및 화재 발생 * 원료 배합 : 오배자추출물(11.8kg) + 아염소산나트륨(8kg) + 산딸기추출물(0.2kg)   * 아염소산나트륨 물질 특성 : 유기물과 혼합시 충격과 마찰에 민감함,안전기준 미준수,폭발,아염소산나트륨,,,0,0,2,0,,
276,2016-057,2016-07-29,18:05:00,동백통운,전북 군산시 개정면 통사리 233-1,전북,군산시,"정차 중인 염산 탱크로리(25톤, 전북91사8106)에서 크랙이 발생하여 염산(35%) 약 50리터(추정) 유출된 사고",운송차량,누출,염산(35%),,,0,0,0,0,,
277,2016-058,2016-08-03,10:32:00,효성,울산 남구 용연로 130 ㈜ 효성 용연 3공장,울산,남구,NF3* 제조공정의 최종 정제탑(DA-3550) 하부 펌프(GA-3551B)를 운전중 유량 및 토출압력 등이 정상 운전조건을 벗어나는 이상이 발생하여 예비펌프(GA-3551A)로 전환하기 위하여 예비펌프의 가동스위치를 누르는 순간 원인미상의 폭발이 발생하여 펌프 및 배관 등이 파손되고 내부의 NF3가 외부로 유출됨. 소방대 및 관계자에 의해 주배관 차단 완료(배관 내 NF3 약500KG 중 약100KG 유출),안전기준 미준수,누출,삼불화질소,,,0,0,7,0,,
