주소,취약지역유형,관리주체,소유별,면적(제곱미터),거리(미터),취약지역지정사유,데이터기준일자
경상북도 포항시 북구 기북면 탑정리 산46-3,토석류,포항시,사유림,91,2226.26,"계안에 토석류의 흔적이 관찰되고, 계상에 토사, 전석, 벌채목 등의 퇴적물이 다량으로 존재하여 집중호우시 하부로 일시에 이동할 경우 탑정저수지가 월류하여 하부인가의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 기북면 탑정리 산63,토석류,포항시,사유림,54,2262.53,"계류의 유역규모가 크고, 계상에 상당량의 전석이 존재하여 집중호우시 하부 인가의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 기계면 화봉리 908,토석류,포항시,사유림,852,1532.14,"일부구간 계안의 침식지가 관찰되고, 수목의 전도와 유목이 관찰되며, 계상에 다량의 전석이 존재하여 집중호우시 하부 인가의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 기계면 미현리 866,토석류,포항시,사유림,352,5361.27,"계류내 다수의 구간에서 침식과 퇴적지가 관찰되고, 계안 폐수로관이 적치되어 있음. 계류내 토석류 발생으로 유동흔적 관찰.",2026-04-07
경상북도 포항시 북구 기계면 미현리 866,토석류,포항시,사유림,148,0,"일부구간 계상 암반이 관찰되나, 유역면적이 상당히 크고, 계류내 사면에 침식지가 다수 관찰되며, 계상에 다량의 퇴적물이 관찰되어 하부로 이동시 피해가 우려되는 대상지임.",2026-04-07
경상북도 포항시 북구 기계면 미현리 산110,토석류,포항시,사유림,1835,100,"대상지 계류 중·상부구간에 침식과 수목 벌채로 인한 계상에 석력, 유목 등이 적체되어 있는 상태이다. 또한, 곡류 구간 및 토심이 깊은 구간에서 유수침식으로 인해 토사가 유출되고 붕괴 위험성이 상승하고 있으므로 산사태취약지역 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 기계면 미현리 산1-1,산사태,포항시,사유림,1332,0,"암반사면의 균열로 인한 이완암의 낙석위험이 있으며, 일부구간 침식으로 인한 토사유출이 진행중이며, 침식으로 인한 전도위험수목이 존재함",2026-04-07
경상북도 포항시 북구 기계면 미현리 산159,토석류,포항시,사유림,73,2616.66,"계상에 다량의 돌, 전석 등의 퇴적물이 존재하여 집중호우시 하부 인가의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 기계면 성계리 1187-2,토석류,포항시,사유림,185,0,"다수의 구간에서 계상 퇴적지가 관찰되고, 일부구간 수목전도와 표층유실 및 침식이 관찰되며 계류내 토석류 발생.",2026-04-07
경상북도 포항시 북구 기계면 미현리 산132-1,토석류,포항시,사유림,200,1643.25,"유역면적이 넓고, 계안의 붕괴 및 침식으로 인한 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 북구 기계면 화봉리 산88,토석류,포항시,사유림,312,3507.02,계류 내 다수의 구간에서 퇴적이 관찰되고 사면침식 및 표층유실이 관찰되며 토석류 흔적 있음.,2026-04-07
경상북도 포항시 북구 기계면 내단리 산27-15,토석류,포항시,사유림,242,0,"계류의 유역면적은 소규모이나 계상에 다량의 토사, 모래 등의 퇴적물이 존재하며 계안과 사면에 침식이 관찰되며, 침식으로 인한 수목의 뿌리 노출이 관찰되며, 계류내 사면에 수목의 전도가 다수 관찰됨.",2026-04-07
경상북도 포항시 북구 신광면 기일리 1226,토석류,포항시,사유림,508,0,다수의 구간에서 퇴적지가 관찰되고 일부구간 사면 침식이 진행중임.,2026-04-07
경상북도 포항시 북구 신광면 흥곡리 1005,토석류,포항시,사유림,173,3499.91,"계류 내 다수의 구간에서 퇴적이 관찰되고 부분적으로 노출암 및 침식, 유실이 관찰되며 계류네 토석류 발생. ",2026-04-07
경상북도 포항시 북구 기계면 화대리 산18-3,토석류,포항시,사유림,567,2120.83,"재선충 작업로에서 유수의 월류로 인한 사찰 법당의 피해 이력이 있고, 작업로 내 세굴이 심각하여 토사유출이 진행중임.",2026-04-07
경상북도 포항시 북구 신광면 흥곡리 산49,토석류,포항시,사유림,233,863.88,"계류의 종단 물매가 비교적 급하고, 계류 내 다수의 구간에서 계안 침식지으로 인한 토사유출이 진행중이며, 수목의 전도가 다수 관찰됨.",2026-04-07
경상북도 포항시 북구 신광면 흥곡리 산42,토석류,포항시,사유림,227,878.52,"유역면적이 넓고 계류의 길이가 길며, 계상에 유수의 흐름을 방해하는 전도목 및 유동가능 토석이 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 신광면 흥곡리 산106,토석류,포항시,사유림,381,2466.4,조사구간 내 붕괴지와 바닥세굴이 관찰되며 절취사면이 존재하고 일부구간 급경사를 보임.,2026-04-07
경상북도 포항시 북구 신광면 죽성리 산46,토석류,포항시,사유림,150,800,"유역면적이 비교적 넓고 계류 내 붕괴지가 관찰되며, 계안 침식 및 계상에 유동가능 토석이 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 신광면 상읍리 산15,토석류,포항시,사유림,624,539.47,"계류내 수목의 전도가 다수 관찰되며, 기존 사방시설이 파손되어 있으며, 계안의 침식으로 인한 토사유출이 진행중임.",2026-04-07
경상북도 포항시 북구 신광면 상읍리 산47,토석류,포항시,사유림,274,593.58," 기존 사방시설물 일부가 파손되어 있고, 수목의 전도가 다수 관찰되며, 계안의 침식으로 인한 토상유출이 진행중인 계류임.",2026-04-07
경상북도 포항시 북구 신광면 마북리 산79,토석류,포항시,사유림,294,0,다수의 구간에서 토사 퇴적이 관찰되고 계류 평균경사도가 비교적 급하며 계안     토석류가 일부 발생.,2026-04-07
경상북도 포항시 북구 신광면 기일리 1196,토석류,포항시,사유림,169,0,계류 중간부 이후로 침식이 다수 관찰되고 토석류 흔적이 관찰됨. 계상 퇴적지가 존재하며 황폐화 되어있음.,2026-04-07
경상북도 포항시 북구 신광면 안덕리 산11,토석류,포항시,사유림,174,900,"계류 내 전도목 및 유동가능 전석이 관찰되며, 조사구간 전 구간에 걸쳐 침식 및 토사유실이 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 신광면 반곡리 794,토석류,포항시,사유림,976,0,"계류내 다수의 구간에서 토사, 모래, 돌, 전석 등의 퇴적물이 관찰되고, 계안의 침식과 붕괴지가 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 신광면 반곡리 산43,토석류,포항시,사유림,197,1000,"직하부에 인가가 존재하고, 계류의 종단 물매가 급하며, 토심이 깊고, 계류 내 토석류 유동흔적이 관찰되고, 다수의 구간 침식으로 인한 토사유출이 상당히 진행중이며, 침식에 의한 수목의 뿌리가 노출되어 추후 전도의 위험성이 있음.",2026-04-07
경상북도 포항시 북구 신광면 반곡리 776-5,토석류,포항시,사유림,267,0,"조사구간 전 구간에 걸쳐 유실, 침식이 관찰되고 계상퇴적지가 다수 분포함. 비교적 경사가 급하며 상부 이후 급경사를 보임.",2026-04-07
경상북도 포항시 북구 신광면 만석리 산40,산사태,포항시,사유림,3152,0,"임도 절토사면 상부 다수의 침식지가 존재하며, 침식으로 인한 토사유출이 진행중이고, 수목의 전도가 관찰되고, 임도 성토사면에 시설되어 있는 편책 일부구간 우수로 인하여 파손되어 지지력을 잃어 집중호우시 추가 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 신광면 호리 산105,토석류,포항시,사유림,202,1849.8,"계류내 계안 및 사면에서 침식지가 다수 관찰되며, 사방공사가 시행중임.",2026-04-07
경상북도 포항시 북구 신광면 호리 산61-4,토석류,포항시,사유림,199,2432.14,"유역면적이 넓고 계류 내 다수의 구간에서 침식 및 토사유실이 관찰되며, 계상에 전도목 및 다량의 유동가능 전석이 존재함.",2026-04-07
경상북도 포항시 북구 흥해읍 초곡리 산127,토석류,포항시,사유림,5591,8252.31,"본 대상지는 유출구와 하류에 농경지 및 농막, 도로시설 등이 위치하고 있음. 계상에는 다량의 석력이 적체되어 있으며, 사면에서 침식 및 세굴 피해가 전반에 걸쳐 지속적으로 발생 되고 있는 상태로 향후 집중호우 시 피해가 확대 될 우려가 높은 지역으로 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 청하면 고현리 산41,토석류,포항시,사유림,5955,2125.89,"본 대상지는 고현저수지 상류 좌측 지류를 대상으로 하며, 계상에 적체된 토사와 석력 등 퇴적물이 불안정하게 퇴적되어 있으며 , 종횡 침식에 의해 계류비탈면의 침식범위가 획대되고 있는 실정임 계류의 침식이 지속적으로 진행되고 급경사지는 풍화로 인한 붕괴가 발생되는 등 토석류 및 유수가 집중되고 있다. 이에 집중호우시 퇴적물이 하류로 유출 되어 피해범위의 확대 우려가 있어 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 흥해읍 학천리 산62-3,토석류,포항시,사유림,227,2645.11,"과거 월류 피해 이력이 있으며, 계류의 토심이 깊고, 다수의 구간 계안의 침식으로 인한 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 북구 흥해읍 덕성리 산29,토석류,포항시,사유림,4029,10,"본 대상지는 덕성리 농경지 배후에 위치하고 있으며, 계류 환경이 불안정하여 양안 침식 및 다량의 석력이 퇴적되어 있으며, 침식 및 세굴에 의한 피해가 계류 전반에 걸쳐 지속적으로 발생하는 지역으로 집중호우 시 통수면적의 부족으로 하류 토사 유출 및 월류 피해 발생가능성이 높아 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 흥해읍 덕성리 산108,토석류,포항시,사유림,545,611.6,"계류내 다수의 계안의 침식이 관찰되고, 계상에 자갈, 돌 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 연일읍 자명리 산42,토석류,포항시,사유림,182,700,"계류의 토심이 깊고, 토석류 유동흔적이 관찰되며, 콘크리트 블록이 시설되어 있으나 일부 유실이 관찰되고, 붕괴지가 존재하며 계류 내 전 구간에서 침식으로 인한 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 남구 연일읍 자명리 산42,산사태,포항시,사유림,2069,0,"토양의 긴박력이 약하고, 사면내 침식으로 인한 토사유출이 진행중이며, 이로 인한 수목의 뿌리노출이 관찰되며, 사면하부 배수로의 세굴 및 침식으로 토사유출이 상당히 진행중임.",2026-04-07
경상북도 포항시 북구 흥해읍 덕성리 산153,토석류,포항시,사유림,138,726.05,"계류 내 침식으로 인한 토사유실이 관찰되고, 계상에 유동가능한 다양한 입경의 토석들이 산재해 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 남구 연일읍 중명리 587,토석류,포항시,사유림,346,0,"계안의 침식과 붕괴로 인한 토사유출이 심각하게 진행중이며, 이로 인해 배수관이 반이상 묻혀있어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 흥해읍 대련리 산77,토석류,포항시,사유림,235,2552.39,"시설된 바닥막이는 유실되고 울타리는 붕괴되어 있음. 계류 내 침식 및 토사유실이 관찰되고, 계상에 유동가능 토석들이 다수의 구간에서 관찰되어 호우 시 피해 우려됨.",2026-04-07
경상북도 포항시 북구 흥해읍 덕장리 산111,토석류,포항시,사유림,669,2353.8,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 계안의 침식으로 토사유출이 심각하게 진행중이며, 이로인한 수목의 뿌리노출이 상당량 존재하여 수목의 전도가 우려됨.",2026-04-07
경상북도 포항시 북구 흥해읍 대련리 산157-9,산사태,포항시,사유림,4868,1033.13,"해당 지역의 산림은 포항시산림조합 내 산림문화광장 배후 산지계곡부로 사면 내 포락 및 다수의 세굴이 발생하였으며, 집중호우 시 피해확산 위험이 있는 지역임 토사유출과 수목의 전도가 우려됨에 따라 인명피해 예방을 위한 산사태취약지역 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 남구 연일읍 중단리 산4-2,토석류,포항시,사유림,375,0," 계류의 월류로 사찰의 피해 이력이 있고, 계안의 붕괴 및 침식으로 인한 토사유출이 심각하게 진행중이며, 계상에 유송잡물과 수목의 전도가 다수 관찰됨.",2026-04-07
경상북도 포항시 남구 연일읍 택전리 산54,토석류,포항시,사유림,266,0,"계류내 일부구간 계안의 침식과 붕괴지가 관찰되고, 계류내 사면 붕괴로 인한 수목의 뿌리가 노출되어 전도가 우려됨.",2026-04-07
경상북도 포항시 남구 대송면 홍계리 479,토석류,포항시,사유림,177,0,조사구간 전구간에 걸쳐 침식과 붕괴가 관찰되어 계상에 퇴적물이 지속적으로 증가하고 있음.,2026-04-07
경상북도 포항시 남구 대송면 장동리 산141,토석류,포항시,사유림,366,0,"계류내 다수의 구간 계안에서 붕괴와 침식으로 인한 토사유출이 심각하게 진행중이며, 계상에 다량의 토사가 퇴적되어 있어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 대송면 장동리 산143-3,토석류,포항시,사유림,276,0,"계류내 월류로 인한 피해 이력이 있으며, 계안의 침식 및 붕괴로 토사유출이 진행중임.",2026-04-07
경상북도 포항시 남구 연일읍 우복리 산29,산사태,포항시,사유림,1420,0,"사면하부 일부구간에 침식으로 인한 토사유출이 진행중이며, 이로인한 수목의 뿌리가 노출되어 전도위험목이 존재함.",2026-04-07
경상북도 포항시 북구 용흥동  산123-79,토석류,포항시,사유림,101,1800,"계류의 토심이 깊고 계류 내 다수의 구간에서 유수의 흐름을 방해하는 전도목이 관찰되며, 중간부 월류흔적이 존재하고, 일부구간 계안 침식 및 토사유실이 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 흥해읍 이인리 산6-3,산사태,포항시,사유림,1781,3720.02,"토양의 긴박력이 약하고, 사면하부 넓은 구간에 표층유실이 관찰되며, 일부구간 유수로 인해 누구침식이 관찰되어 집중호우시 추가 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 대잠동  산37-1,산사태,포항시,사유림,347,2352.14,"하부에 아파트가 존재하고, 사면 내 일부구간 붕괴가 관찰되고, 배수로는 막혀있으며, 격자블록 다수가 파손되어 있음.",2026-04-07
경상북도 포항시 남구 연일읍 우복리 산10,토석류,포항시,사유림,501,0,"계류내 다수의 구간 계안에 붕괴와 침식으로 인한 토사유출이 심각하게 진행중이고, 계상에 유송잡물, 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 대송면 산여리 산33-1,토석류,포항시,사유림,266,6600,"계류 내 다발적인 붕괴지가 관찰되고 토사유실이 상당하며, 계상에 전도목 및 유동가능 토석들이 불안정하게 적치되어 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 득량동  산48-5,산사태,포항시,사유림,4698,1480.82,"사면하부의 경사가 급하고, 사면과 인가가 인접하고 있으며, 사면길이가 길며, 다수의 구간 사면하부에 침식으로 인한 토사유출이 상당히 진행중임",2026-04-07
경상북도 포항시 북구 흥해읍 성곡리 산29,산사태,포항시,사유림,1028,148.04,사면하부에 일부구간에 침식으로 인한 토사유출이 진행중이고 강우시 토사유출로 인한 주민의 피해 호소가 있음,2026-04-07
경상북도 포항시 남구 대송면 산여리 산29,토석류,포항시,사유림,79,6100,"계류 내 붕괴지와 침식지가 다발적으로 관찰되며, 계상에 다량의 유동가능 전석이 적치되어 있어 호우 시 피해 우려됨.",2026-04-07
경상북도 포항시 남구 대송면 장동리 산21,토석류,포항시,사유림,533,0,"계류내 기반암이 이암으로 형성되어 있고, 경작지 계안의 침식 및 붕괴로 인한 토사가 유출되어 계류의 황폐화가 심각하게 진행중임.",2026-04-07
경상북도 포항시 북구 용흥동  산103-1,산사태,포항시,사유림,433,0,"과거 산사태 발생이력이 있고, 사면내 넓은구간에 표층유실로 인한 토사유출이 진행중임.",2026-04-07
경상북도 포항시 남구 대송면 산여리 산4,토석류,포항시,사유림,461,0,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 종단물매가 급하고, 월류로 인한 식당의 피해이력이 있으며, 계류내 다량의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 대송면 산여리 산36,토석류,포항시,사유림,12541,50,"본 대상지는 오어사 사찰 배후 산지계류에 위치하고 있으며, 주변으로 농경지가 위치한 산지계류로 지속적인 토석류의 유출이 발생하고 있는 지역임 계상에 다량의 석력, 등이 적체되어 있고 산지사면에서 붕괴지가 발생함에 따라 산지재해 발생가능성이 있는 지역으로 지정ㆍ심의 상정 대상지로 선정하였음",2026-04-07
경상북도 포항시 북구 장성동  산256,산사태,포항시,사유림,1180,0,"사면의 경사가 상당히 급하고, 기시설된 격자블록의 탈락이 다수관찰되며, 일부구간 침식으로 인한 토사유출이 관찰됨",2026-04-07
경상북도 포항시 남구 오천읍 항사리 산7,토석류,포항시,사유림,414,0,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 계안의 침식과 붕괴로 인한 토사유출이 심각하게 진행중이며, 수목의 전도가 다수 관찰되고, 계류내 다수의 구간에 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 남구 오천읍 항사리 산106-1,토석류,포항시,사유림,78,3400,"계류의 종단 경사가 매우 급하고 다수의 구간에서 침식지가 관찰되며, 계상에 전도목 및 다양한 입경의 토석들이 적치되어 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 남구 오천읍 항사리 산76,산사태,포항시,사유림,1346,300,"하부에 다중이용시설이 존재하고, 사면의 경사가 매우 급하며, 사면 내 소계류가 존재하며, 일부구간 침식으로 인한 토사유출이 진행중임.",2026-04-07
경상북도 포항시 북구 흥해읍 흥안리 산6,토석류,포항시,사유림,241,0,계류 내 토사유실 및 유동가능 전석이 관찰되며 종단물매가 급하고 하부 인가와의  이격거리가 짧아 호우시 피해 우려됨.,2026-04-07
경상북도 포항시 북구 흥해읍 흥안리 산6,토석류,포항시,사유림,412,0,"조사구간 전구간에 걸쳐 토석류 유동흔적이 관찰되고, 계안의 침식으로 인한 토사유출이 심각하게 진행중이며, 계상에 다수의 돌, 전석 등의 퇴적물이 관찰되어 집중호우시 하부의 피해가 우려됨.",2026-04-07
경상북도 포항시 북구 흥해읍 칠포리 산97,토석류,포항시,사유림,90,415.25,"계류 내 침식으로 인해 발생한 토사가 퇴적되어 있고, 암괴 및 다양한 입경의 전석들이 계상에 불안정하게 적치되어 있어 호우 시 하부 피해 우려됨.",2026-04-07
경상북도 포항시 북구 흥해읍 곡강리 산62,토석류,포항시,사유림,68,300,"계류 내 돌골막이가 시설되어 있으나 일부 유실되어 있고, 계안 붕괴지가 관찰되며, 계상에 침식으로 인해 발생한 토사 및 유동가능 전석이 관찰되어 호우 시 하부 피해 우려됨.",2026-04-07
