연번,시도,시군구,읍면동,리,지번,(위도)도,(위도)분,(위도)초,(경도)도,(경도)분,(경도)초,취약지역유형,지정면적(제곱미터),데이터기준일자
2690,경상북도,영주시,봉현면,한천리,산14-3,36,50,1.791,128,31,24.842,토석류,15000,2026-06-04
2691,경상북도,영주시,봉현면,한천리,산14-20 임,36,50,1.899,128,31,25.200,토석류,2472,2026-06-04
2692,경상북도,영주시,장수면,성곡리,975번지,36,46,59.041,128,31,28.654,토석류,3000,2026-06-04
2693,경상북도,영주시,안정면,여륵리,산41,36,48,18.535,128,31,42.714,토석류,198476,2026-06-04
2694,경상북도,영주시,안정면,봉암리,286답,36,49,47.899,128,31,49.800,토석류,889.2,2026-06-04
2695,경상북도,영주시,안정면,봉암리,272전,36,49,44.599,128,31,50.900,토석류,1983.6,2026-06-04
2696,경상북도,영주시,안정면,봉암리,산24-4임,36,49,34.699,128,31,52.900,토석류,1278,2026-06-04
2697,경상북도,영주시,안정면,용산리,산 46-6 임,36,48,35.360,128,31,53.826,토석류,2100,2026-06-04
2698,경상북도,영주시,안정면,봉암리,산23-1임,36,49,45.599,128,31,55.500,토석류,1460.8,2026-06-04
2699,경상북도,영주시,안정면,용산리,산45번지,36,48,36.244,128,31,59.622,토석류,2700,2026-06-04
2700,경상북도,영주시,안정면,용산리,산35임,36,49,9.699,128,32,10.500,토석류,0,2026-06-04
2701,경상북도,영주시,안정면,봉암리,504구,36,49,59.199,128,32,16.800,토석류,560,2026-06-04
2702,경상북도,영주시,순흥면,태장리,산21-7임,36,54,48.678,128,32,27.311,토석류,38198,2026-06-04
2703,경상북도,영주시,안정면,용산리,산37,36,49,2.694,128,32,23.462,토석류,0,2026-06-04
2704,경상북도,영주시,풍기읍,산법리,산44-3임,36,52,52.309,128,32,39.441,토석류,681,2026-06-04
2705,경상북도,영주시,안정면,용산리,997,36,49,13.753,128,32,42.108,토석류,151,2026-06-04
2706,경상북도,영주시,순흥면,배점리,산56,36,55,29.818,128,33,1.172,토석류,185,2026-06-04
2707,경상북도,영주시,순흥면,배점리,산49-4번지,36,55,45.309,128,33,2.369,산사태,7000,2026-06-04
2708,경상북도,영주시,순흥면,배점리,579천,36,56,0.726,128,33,15.003,토석류,12934,2026-06-04
2709,경상북도,영주시,순흥면,배점리,산62,36,55,34.264,128,33,15.263,토석류,2000,2026-06-04
2710,경상북도,영주시,순흥면,덕현리,45-1 도,36,57,14.099,128,33,17.100,토석류,4068,2026-06-04
2711,경상북도,영주시,순흥면,덕현리,44번지,36,57,13.643,128,33,17.384,토석류,10000,2026-06-04
2712,경상북도,영주시,순흥면,배점리,161-1번지,36,56,0.718,128,33,16.962,토석류,100000,2026-06-04
2713,경상북도,영주시,안정면,단촌리,산5번지,36,53,30.359,128,33,21.536,토석류,5000,2026-06-04
2714,경상북도,영주시,장수면,갈산리,산93-1임,36,46,38.099,128,33,20.200,토석류,0,2026-06-04
2715,경상북도,영주시,장수면,파지리,산22임,36,47,39.799,128,33,25.400,토석류,729.6,2026-06-04
2716,경상북도,영주시,순흥면,배점리,110-12전,36,55,37.018,128,33,32.079,토석류,1640,2026-06-04
2717,경상북도,영주시,순흥면,배점리,산68-2,36,55,37.220,128,33,32.773,토석류,6000,2026-06-04
2718,경상북도,영주시,안정면,내줄리,367-5종,36,50,17.299,128,33,28.800,토석류,574.6,2026-06-04
2719,경상북도,영주시,안정면,단촌리,산16-1,36,52,50.141,128,33,42.680,토석류,213614,2026-06-04
2720,경상북도,영주시,장수면,두전리,산93-7임,36,48,10.609,128,34,12.726,토석류,8349,2026-06-04
2721,경상북도,영주시,순흥면,청구리,산60임,36,56,43.342,128,34,29.624,토석류,230647.46,2026-06-04
2722,경상북도,영주시,순흥면,청구리,산56임,36,56,45.722,128,34,33.966,토석류,98453.69,2026-06-04
2723,경상북도,영주시,장수면,두전리,산5번지,36,49,6.931,128,34,39.808,토석류,9800,2026-06-04
2724,경상북도,영주시,단산면,좌석리,557천,36,59,6.599,128,34,52.100,토석류,6241.92,2026-06-04
2725,경상북도,영주시,장수면,두전리,산57임,36,48,25.399,128,34,44.900,토석류,633,2026-06-04
2726,경상북도,영주시,장수면,두전리,산57번지,36,48,25.4,128,34,44.9,토석류,11000,2026-06-04
2727,경상북도,영주시,장수면,소룡리,산46,36,44,30.769,128,34,50.356,토석류,69020.75,2026-06-04
2728,경상북도,영주시,장수면,소룡리,산32번지,36,44,50.065,128,34,54.399,토석류,2500,2026-06-04
2729,경상북도,영주시,장수면,소룡리,산54번지,36,44,25.069,128,35,5.922,토석류,6500,2026-06-04
2730,경상북도,영주시,단산면,사천리,산36임,36,54,4.191,128,35,25.049,토석류,0,2026-06-04
2731,경상북도,영주시,단산면,단곡리,산20번지,36,57,29.654,128,35,33.883,토석류,14000,2026-06-04
2732,경상북도,영주시,단산면,단곡리,산165구,36,57,20.099,128,35,47.900,토석류,128.28,2026-06-04
2733,경상북도,영주시,장수면,호문리,산151번지,36,45,34.584,128,35,39.328,토석류,9800,2026-06-04
2734,경상북도,영주시,장수면,호문리,228-6전,36,45,34.599,128,35,39.400,토석류,576.72,2026-06-04
2735,경상북도,영주시,단산면,단곡리,산132임,36,56,45.799,128,35,55.900,토석류,0,2026-06-04
2736,경상북도,영주시,단산면,사천리,산12임,36,54,23.999,128,36,3.100,토석류,0,2026-06-04
2737,경상북도,영주시,단산면,병산리,산93-7임,36,55,31.499,128,36,5.800,토석류,0,2026-06-04
2738,경상북도,영주시,단산면,병산리,산150,36,55,22.704,128,36,20.959,토석류,176783,2026-06-04
2739,경상북도,영주시,문수면,권선리,695-1 도,36,45,45.499,128,36,16.300,토석류,507,2026-06-04
2740,경상북도,영주시,단산면,옥대리,산93-1,36,58,5.435,128,36,29.021,토석류,1,2026-06-04
2741,경상북도,영주시,단산면,동원리,산126-1임,36,53,30.601,128,36,35.749,토석류,0,2026-06-04
